posted,neighborhood,post title,number bedrooms,sqft,URL,price
2021-01-26 18:19, (Gilbert),Down Town Gilbert Community! Let's make it a Home,2,,https://phoenix.craigslist.org/evl/apa/d/gilbert-down-town-gilbert-community/7268326511.html,1465
2021-01-26 18:19, (Phoenix),Made in Shade at Desert Ridge !,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-made-in-shade-at-desert-ridge/7268320882.html,1795
2021-01-26 18:17, (Gilbert),Waitlist Today!,1,791.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-waitlist-today/7268321074.html,1200
2021-01-26 18:17, (mesa),furnished one bedroom,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-furnished-one-bedroom/7268291740.html,269
2021-01-26 18:16, (5611 S 32nd St),Turn the key. Enter. Smile. Repeat every day.,2,1068.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-turn-the-key-enter-smile-repeat/7268286284.html,1476
2021-01-26 18:11, (Phoenix),All Utilities and Internet Included!!,,375.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-all-utilities-and-internet/7268316837.html,824
2021-01-26 18:10, (Tempe),Newly Renovated w/ Full-Size Washer and Dryer!,3,1079.0,https://phoenix.craigslist.org/evl/apa/d/tempe-newly-renovated-full-size-washer/7268319737.html,2306
2021-01-26 18:10, (Goodyear),Hurry! We're almost out of 2 bedroom homes! 😲,2,1113.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-hurry-were-almost-out-of/7268322936.html,1665
2021-01-26 18:10," (1925 S. Coronado Road Gilbert, AZ)",Call us today!!!,1,807.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-call-us-today/7268318734.html,1275
2021-01-26 18:09, (mesa),"call at noon, we sell out fast",1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-call-at-noon-we-sell-out-fast/7268291059.html,269
2021-01-26 18:07," (5995 N 78th St APT 1056, Scottsdale, AZ)",1 bd1 ba664 sqft,1,664.0,https://phoenix.craigslist.org/evl/apa/d/scottsdale-bd1-ba664-sqft/7266273715.html,800
2021-01-26 18:06, (Avondale),Great Size and Convenient Location! Lease for December now!,1,916.0,https://phoenix.craigslist.org/wvl/apa/d/avondale-great-size-and-convenient/7268321426.html,1240
2021-01-26 18:05, (Gilbert),Best Place To Call Home!,1,749.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-best-place-to-call-home/7268321085.html,1075
2021-01-26 18:05, (Gilbert),Apply For Your New Home Today!,1,749.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-apply-for-your-new-home-today/7268321067.html,1055
2021-01-26 18:05, (Mesa),Pool side ground floor split 2 bedroom 2 bath!,2,900.0,https://phoenix.craigslist.org/evl/apa/d/mesa-pool-side-ground-floor-split/7268311261.html,1075
2021-01-26 18:04, (Surprise),VERY CLEAN BEAUTIFUL HOUSE FOR RENT,3,1320.0,https://phoenix.craigslist.org/wvl/apa/d/surprise-very-clean-beautiful-house-for/7268320515.html,1625
2021-01-26 18:04," (5740 North 59th Ave, Glendale, AZ, US)",Spacious one bedroom + high speed internet included = Happiness!!!,1,676.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-spacious-one-bedroom-high/7264720852.html,881
2021-01-26 18:03, (Desert Peak),"Corn Hole & Bocce Ball, Upgraded Moen Kitchen and Bath Faucets",3,1353.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-corn-hole-bocce-ball-upgraded/7268317288.html,1928
2021-01-26 18:02," (4242 East Cactus Rd. Phoenix, AZ)",Apartment 350 Comes with $150 OFF 1st Months Rent!,1,651.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-apartment-350-comes-with-150/7268295434.html,1162
2021-01-26 18:01, (Goodyear),You'll fall in love with this 3 bedroom home! ❤,3,1384.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-youll-fall-in-love-with-this/7268319176.html,2035
2021-01-26 18:01, (Goodyear),Move to Acero Estrella Commons today! 🤩 Tour and you'll be blown away,3,1384.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-move-to-acero-estrella-commons/7268319039.html,2035
2021-01-26 18:01, (Phoenix),1/2 off 1st months rent,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-2-off-1st-months-rent/7268319000.html,860
2021-01-26 18:00, (mesa),weekly one bedrooms,1,39500.0,https://phoenix.craigslist.org/evl/apa/d/mesa-weekly-one-bedrooms/7268288920.html,269
2021-01-26 18:00, (Mesa),"Includes two tone paint, ceiling fans, modern fixtures, and much more.",2,900.0,https://phoenix.craigslist.org/evl/apa/d/mesa-includes-two-tone-paint-ceiling/7268313304.html,1075
2021-01-26 17:59, (mesa),nice weekly furnished one bedrooms,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-nice-weekly-furnished-one-bedrooms/7268290567.html,269
2021-01-26 17:57, (Mesa),"Sparkling pool, on site laundry, open parking, and much more.",2,900.0,https://phoenix.craigslist.org/evl/apa/d/mesa-sparkling-pool-on-site-laundry/7268312345.html,1075
2021-01-26 17:57, (Phoenix),All wood plank floors in 1x1 by the 17 &101,1,717.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-all-wood-plank-floors-in-1x1-by/7268317412.html,1177
2021-01-26 17:55, (mesa),nice weekly furnished one bedrooms,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-nice-weekly-furnished-one-bedrooms/7268293797.html,269
2021-01-26 17:55, (Phoenix),Your New Home At Shade!,1,,https://phoenix.craigslist.org/nph/apa/d/phoenix-your-new-home-at-shade/7268313638.html,1470
2021-01-26 17:55, (Phoenix),"Fabulous 802 sq ft 1 bed, 1 bath in sought-after Phoenix area",1,802.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-fabulous-802-sq-ft-bed-bath-in/7268290646.html,1185
2021-01-26 17:55," (2625 E. Camelback Rd., Phoenix, AZ)","Sit Back, Relax. Your New View Awaits.",2,1074.0,https://phoenix.craigslist.org/evl/apa/d/phoenix-sit-back-relax-your-new-view/7268306639.html,2408
2021-01-26 17:53," (2300 W Pecos Rd Chandler, AZ)",Come see our beautiful community!!!,1,756.0,https://phoenix.craigslist.org/evl/apa/d/chandler-come-see-our-beautiful/7268275471.html,1352
2021-01-26 17:53, (Phoenix),Two bedroom in Beautiful Ahwatukee,2,1205.0,https://phoenix.craigslist.org/evl/apa/d/phoenix-two-bedroom-in-beautiful/7268315845.html,1590
2021-01-26 17:52, (Mesa),Stay & Play! Fun Amenities! Call Now!,2,828.0,https://phoenix.craigslist.org/evl/apa/d/mesa-stay-play-fun-amenities-call-now/7268315592.html,1185
2021-01-26 17:52, (1122 E Lemon St.),Two Bedroom Apartment in Tempe!,2,,https://phoenix.craigslist.org/evl/apa/d/tempe-two-bedroom-apartment-in-tempe/7268275239.html,1100
2021-01-26 19:44, (PHOENIX),"Dog Park, 24 hour Fitness Center, Garages Available",2,865.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-dog-park-24-hour-fitness-center/7267165318.html,1251
2021-01-26 19:42," (5740 North 59th Ave, Glendale, AZ, US)",Make Ranchwood your home TODAY! Apply online for your new home!!!,1,540.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-make-ranchwood-your-home-today/7264212234.html,888
2021-01-26 19:41," (5740 North 59th Ave, Glendale, AZ, US)",High speed internet included! Make Ranchwood your home TODAY!!!,1,676.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-high-speed-internet-included/7263216284.html,881
2021-01-26 19:27, (near Scottsdale Rd / McDowell),Home in Scottsdale,3,,https://phoenix.craigslist.org/evl/apa/d/scottsdale-home-in-scottsdale/7263182921.html,1895
2021-01-26 19:13, (Phoenix),Luxury studio residence atop Palomar Hotel in downtown Phoenix!,1,840.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-luxury-studio-residence-atop/7268314502.html,800
2021-01-26 19:12, (1019 E Lemon St.),Two Bedroom Apartment Minutes from ASU!!!,2,,https://phoenix.craigslist.org/evl/apa/d/tempe-two-bedroom-apartment-minutes/7268301550.html,1299
2021-01-26 19:11," (1230 N Mesa Dr Mesa, AZ)",Stop Looking + Start Living! Apply Today For This Large 1BR Apt Home!,1,750.0,https://phoenix.craigslist.org/evl/apa/d/mesa-stop-looking-start-living-apply/7268318478.html,1195
2021-01-26 19:09," (5740 North 59th Ave, Glendale, AZ, US)",High speed internet included with this one bedroom home! Call TODAY!!!,1,540.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-high-speed-internet-included/7266308891.html,888
2021-01-26 19:08, (PHOENIX),"Clubhouse with WiFi/Business Center, Private Terrace/Balcony, Dog Park",3,1146.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-clubhouse-with-wifi-business/7261922731.html,1585
2021-01-26 19:06," (17447 North Ave of the Arts, Surprise, AZ, US)",You + this apartment = Home (Aww perfect Valentines gift*),2,1078.0,https://phoenix.craigslist.org/wvl/apa/d/surprise-you-this-apartment-home-aww/7268321591.html,1441
2021-01-26 19:03," (2305 East Main Street, Mesa, AZ, US)",Sunny Apartment with Amazing Views,1,570.0,https://phoenix.craigslist.org/evl/apa/d/mesa-sunny-apartment-with-amazing-views/7266279178.html,955
2021-01-26 18:57," (5750 North 59th Ave, Glendale, AZ, US)","Let us help you, Move in ready, Credit Friendly 1x1!",1,500.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-let-us-help-you-move-in-ready/7265723276.html,876
2021-01-26 18:50," (17447 North Ave of the Arts, Surprise, AZ, US)","Great Space, Great price! * media package included",2,1078.0,https://phoenix.craigslist.org/wvl/apa/d/surprise-great-space-great-price-media/7265203628.html,1441
2021-01-26 18:45, (Phoenix),Live in the Heart of Downtown Phoenix!,,477.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-live-in-the-heart-of-downtown/7268315201.html,1345
2021-01-26 18:44, (Phoenix),"Dishwasher, Air Conditioner, Three Sparkling Heated Pools and Spas",1,611.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-dishwasher-air-conditioner/7268324189.html,899
2021-01-26 18:38," (5740 North 59th Ave, Glendale, AZ, US)",Make this 2 bedroom your home TODAY! Move in ready! Includes internet!,2,926.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-make-this-bedroom-your-home/7265263259.html,1114
2021-01-26 18:37," (Verrado, Buckeye, AZ)",Beautiful 3 Bedroom and 2 1/2 bath for Rent in Buckeye,3,1900.0,https://phoenix.craigslist.org/wvl/apa/d/buckeye-beautiful-bedroom-and-bath-for/7268332764.html,1795
2021-01-26 18:37," (1500 E Broadway Rd Tempe, AZ)","4 Swimming Pools, Pet Friendly, AMAZING SPECIAL!!",1,720.0,https://phoenix.craigslist.org/wvl/apa/d/tempe-swimming-pools-pet-friendly/7268307623.html,1250
2021-01-26 18:35, (mesa),"call at noon, we sell out fast",1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-call-at-noon-we-sell-out-fast/7268293474.html,269
2021-01-26 18:33," (Tempe, AZ)","Plush Carpeting, Laundry Center, Walk-In Closets, Wi-Fi Available",1,600.0,https://phoenix.craigslist.org/evl/apa/d/tempe-plush-carpeting-laundry-center/7268311939.html,1150
2021-01-26 18:27, (mesa),weekly furnished one bedrooms,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-weekly-furnished-one-bedrooms/7268289300.html,269
2021-01-26 18:26, (Glendale),Newly Renovated Three Bedroom Home!,3,,https://phoenix.craigslist.org/wvl/apa/d/glendale-newly-renovated-three-bedroom/7268324146.html,1949
2021-01-26 18:26, (Scottsdale),Penthouse Studio With Free 4k 55inch Smart TV!,,,https://phoenix.craigslist.org/evl/apa/d/scottsdale-penthouse-studio-with-free/7268290522.html,1565
2021-01-26 18:25," (Phoenix, AZ)",Private Patio or Balcony Available with This 2BR/2BA Apartment,2,958.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-private-patio-or-balcony/7268322009.html,1240
2021-01-26 18:25, (6340 N. 16th Street),$679 STUDIO SPECIAL - INCLUDES UTILITIES,,,https://phoenix.craigslist.org/cph/apa/d/phoenix-679-studio-special-includes/7259253276.html,679
2021-01-26 18:24, (Phoenix),ONE BEDROOM SPECIAL! UTILITIES INCLUDED * LOCATION!,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-one-bedroom-special-utilities/7258848433.html,799
2021-01-26 18:23," (4221 W Dunlap Ave Phoenix, AZ)",Come check out Villa Serena!! Beautiful 2bed 2 bath!!!,2,978.0,https://phoenix.craigslist.org/wvl/apa/d/phoenix-come-check-out-villa-serena/7268303970.html,1275
2021-01-26 18:21, (Phoenix),Your Dream 1 Bedroom Awaits!,1,747.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-your-dream-bedroom-awaits/7268322932.html,1300
2021-01-26 18:21, (mesa),nice weekly furnished one bedrooms,1,,https://phoenix.craigslist.org/evl/apa/d/mesa-nice-weekly-furnished-one-bedrooms/7268289675.html,269
2021-01-26 18:19, (Gilbert),Down Town Gilbert Community! Let's make it a Home,2,,https://phoenix.craigslist.org/evl/apa/d/gilbert-down-town-gilbert-community/7268326511.html,1465
2021-01-26 18:19, (Phoenix),Made in Shade at Desert Ridge !,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-made-in-shade-at-desert-ridge/7268320882.html,1795
2021-01-26 18:17, (Gilbert),Waitlist Today!,1,791.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-waitlist-today/7268321074.html,1200
2021-01-26 18:17, (mesa),furnished one bedroom,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-furnished-one-bedroom/7268291740.html,269
2021-01-26 18:16, (5611 S 32nd St),Turn the key. Enter. Smile. Repeat every day.,2,1068.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-turn-the-key-enter-smile-repeat/7268286284.html,1476
2021-01-26 18:11, (Phoenix),All Utilities and Internet Included!!,,375.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-all-utilities-and-internet/7268316837.html,824
2021-01-26 18:10, (Tempe),Newly Renovated w/ Full-Size Washer and Dryer!,3,1079.0,https://phoenix.craigslist.org/evl/apa/d/tempe-newly-renovated-full-size-washer/7268319737.html,2306
2021-01-26 18:10, (Goodyear),Hurry! We're almost out of 2 bedroom homes! 😲,2,1113.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-hurry-were-almost-out-of/7268322936.html,1665
2021-01-26 18:10," (1925 S. Coronado Road Gilbert, AZ)",Call us today!!!,1,807.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-call-us-today/7268318734.html,1275
2021-01-26 18:09, (mesa),"call at noon, we sell out fast",1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-call-at-noon-we-sell-out-fast/7268291059.html,269
2021-01-26 18:07," (5995 N 78th St APT 1056, Scottsdale, AZ)",1 bd1 ba664 sqft,1,664.0,https://phoenix.craigslist.org/evl/apa/d/scottsdale-bd1-ba664-sqft/7266273715.html,800
2021-01-26 18:06, (Avondale),Great Size and Convenient Location! Lease for December now!,1,916.0,https://phoenix.craigslist.org/wvl/apa/d/avondale-great-size-and-convenient/7268321426.html,1240
2021-01-26 18:05, (Gilbert),Best Place To Call Home!,1,749.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-best-place-to-call-home/7268321085.html,1075
2021-01-26 18:05, (Gilbert),Apply For Your New Home Today!,1,749.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-apply-for-your-new-home-today/7268321067.html,1055
2021-01-26 18:05, (Mesa),Pool side ground floor split 2 bedroom 2 bath!,2,900.0,https://phoenix.craigslist.org/evl/apa/d/mesa-pool-side-ground-floor-split/7268311261.html,1075
2021-01-26 18:04, (Surprise),VERY CLEAN BEAUTIFUL HOUSE FOR RENT,3,1320.0,https://phoenix.craigslist.org/wvl/apa/d/surprise-very-clean-beautiful-house-for/7268320515.html,1625
2021-01-26 18:04," (5740 North 59th Ave, Glendale, AZ, US)",Spacious one bedroom + high speed internet included = Happiness!!!,1,676.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-spacious-one-bedroom-high/7264720852.html,881
2021-01-26 18:03, (Desert Peak),"Corn Hole & Bocce Ball, Upgraded Moen Kitchen and Bath Faucets",3,1353.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-corn-hole-bocce-ball-upgraded/7268317288.html,1928
2021-01-26 18:02," (4242 East Cactus Rd. Phoenix, AZ)",Apartment 350 Comes with $150 OFF 1st Months Rent!,1,651.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-apartment-350-comes-with-150/7268295434.html,1162
2021-01-26 18:01, (Goodyear),You'll fall in love with this 3 bedroom home! ❤,3,1384.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-youll-fall-in-love-with-this/7268319176.html,2035
2021-01-26 18:01, (Goodyear),Move to Acero Estrella Commons today! 🤩 Tour and you'll be blown away,3,1384.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-move-to-acero-estrella-commons/7268319039.html,2035
2021-01-26 18:01, (Phoenix),1/2 off 1st months rent,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-2-off-1st-months-rent/7268319000.html,860
2021-01-26 18:00, (mesa),weekly one bedrooms,1,39500.0,https://phoenix.craigslist.org/evl/apa/d/mesa-weekly-one-bedrooms/7268288920.html,269
2021-01-26 18:00, (Mesa),"Includes two tone paint, ceiling fans, modern fixtures, and much more.",2,900.0,https://phoenix.craigslist.org/evl/apa/d/mesa-includes-two-tone-paint-ceiling/7268313304.html,1075
2021-01-26 17:59, (mesa),nice weekly furnished one bedrooms,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-nice-weekly-furnished-one-bedrooms/7268290567.html,269
2021-01-26 17:57, (Mesa),"Sparkling pool, on site laundry, open parking, and much more.",2,900.0,https://phoenix.craigslist.org/evl/apa/d/mesa-sparkling-pool-on-site-laundry/7268312345.html,1075
2021-01-26 17:57, (Phoenix),All wood plank floors in 1x1 by the 17 &101,1,717.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-all-wood-plank-floors-in-1x1-by/7268317412.html,1177
2021-01-26 17:55, (mesa),nice weekly furnished one bedrooms,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-nice-weekly-furnished-one-bedrooms/7268293797.html,269
2021-01-26 17:55, (Phoenix),Your New Home At Shade!,1,,https://phoenix.craigslist.org/nph/apa/d/phoenix-your-new-home-at-shade/7268313638.html,1470
2021-01-26 17:55, (Phoenix),"Fabulous 802 sq ft 1 bed, 1 bath in sought-after Phoenix area",1,802.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-fabulous-802-sq-ft-bed-bath-in/7268290646.html,1185
2021-01-26 17:55," (2625 E. Camelback Rd., Phoenix, AZ)","Sit Back, Relax. Your New View Awaits.",2,1074.0,https://phoenix.craigslist.org/evl/apa/d/phoenix-sit-back-relax-your-new-view/7268306639.html,2408
2021-01-26 17:53," (2300 W Pecos Rd Chandler, AZ)",Come see our beautiful community!!!,1,756.0,https://phoenix.craigslist.org/evl/apa/d/chandler-come-see-our-beautiful/7268275471.html,1352
2021-01-26 17:53, (Phoenix),Two bedroom in Beautiful Ahwatukee,2,1205.0,https://phoenix.craigslist.org/evl/apa/d/phoenix-two-bedroom-in-beautiful/7268315845.html,1590
2021-01-26 17:52, (Mesa),Stay & Play! Fun Amenities! Call Now!,2,828.0,https://phoenix.craigslist.org/evl/apa/d/mesa-stay-play-fun-amenities-call-now/7268315592.html,1185
2021-01-26 17:52, (1122 E Lemon St.),Two Bedroom Apartment in Tempe!,2,,https://phoenix.craigslist.org/evl/apa/d/tempe-two-bedroom-apartment-in-tempe/7268275239.html,1100
2021-01-26 19:44, (PHOENIX),"Dog Park, 24 hour Fitness Center, Garages Available",2,865.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-dog-park-24-hour-fitness-center/7267165318.html,1251
2021-01-26 19:42," (5740 North 59th Ave, Glendale, AZ, US)",Make Ranchwood your home TODAY! Apply online for your new home!!!,1,540.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-make-ranchwood-your-home-today/7264212234.html,888
2021-01-26 19:41," (5740 North 59th Ave, Glendale, AZ, US)",High speed internet included! Make Ranchwood your home TODAY!!!,1,676.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-high-speed-internet-included/7263216284.html,881
2021-01-26 19:27, (near Scottsdale Rd / McDowell),Home in Scottsdale,3,,https://phoenix.craigslist.org/evl/apa/d/scottsdale-home-in-scottsdale/7263182921.html,1895
2021-01-26 19:13, (Phoenix),Luxury studio residence atop Palomar Hotel in downtown Phoenix!,1,840.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-luxury-studio-residence-atop/7268314502.html,800
2021-01-26 19:12, (1019 E Lemon St.),Two Bedroom Apartment Minutes from ASU!!!,2,,https://phoenix.craigslist.org/evl/apa/d/tempe-two-bedroom-apartment-minutes/7268301550.html,1299
2021-01-26 19:11," (1230 N Mesa Dr Mesa, AZ)",Stop Looking + Start Living! Apply Today For This Large 1BR Apt Home!,1,750.0,https://phoenix.craigslist.org/evl/apa/d/mesa-stop-looking-start-living-apply/7268318478.html,1195
2021-01-26 19:09," (5740 North 59th Ave, Glendale, AZ, US)",High speed internet included with this one bedroom home! Call TODAY!!!,1,540.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-high-speed-internet-included/7266308891.html,888
2021-01-26 19:08, (PHOENIX),"Clubhouse with WiFi/Business Center, Private Terrace/Balcony, Dog Park",3,1146.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-clubhouse-with-wifi-business/7261922731.html,1585
2021-01-26 19:06," (17447 North Ave of the Arts, Surprise, AZ, US)",You + this apartment = Home (Aww perfect Valentines gift*),2,1078.0,https://phoenix.craigslist.org/wvl/apa/d/surprise-you-this-apartment-home-aww/7268321591.html,1441
2021-01-26 19:03," (2305 East Main Street, Mesa, AZ, US)",Sunny Apartment with Amazing Views,1,570.0,https://phoenix.craigslist.org/evl/apa/d/mesa-sunny-apartment-with-amazing-views/7266279178.html,955
2021-01-26 18:57," (5750 North 59th Ave, Glendale, AZ, US)","Let us help you, Move in ready, Credit Friendly 1x1!",1,500.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-let-us-help-you-move-in-ready/7265723276.html,876
2021-01-26 18:50," (17447 North Ave of the Arts, Surprise, AZ, US)","Great Space, Great price! * media package included",2,1078.0,https://phoenix.craigslist.org/wvl/apa/d/surprise-great-space-great-price-media/7265203628.html,1441
2021-01-26 18:45, (Phoenix),Live in the Heart of Downtown Phoenix!,,477.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-live-in-the-heart-of-downtown/7268315201.html,1345
2021-01-26 18:44, (Phoenix),"Dishwasher, Air Conditioner, Three Sparkling Heated Pools and Spas",1,611.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-dishwasher-air-conditioner/7268324189.html,899
2021-01-26 18:38," (5740 North 59th Ave, Glendale, AZ, US)",Make this 2 bedroom your home TODAY! Move in ready! Includes internet!,2,926.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-make-this-bedroom-your-home/7265263259.html,1114
2021-01-26 18:37," (Verrado, Buckeye, AZ)",Beautiful 3 Bedroom and 2 1/2 bath for Rent in Buckeye,3,1900.0,https://phoenix.craigslist.org/wvl/apa/d/buckeye-beautiful-bedroom-and-bath-for/7268332764.html,1795
2021-01-26 18:37," (1500 E Broadway Rd Tempe, AZ)","4 Swimming Pools, Pet Friendly, AMAZING SPECIAL!!",1,720.0,https://phoenix.craigslist.org/wvl/apa/d/tempe-swimming-pools-pet-friendly/7268307623.html,1250
2021-01-26 18:35, (mesa),"call at noon, we sell out fast",1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-call-at-noon-we-sell-out-fast/7268293474.html,269
2021-01-26 18:33," (Tempe, AZ)","Plush Carpeting, Laundry Center, Walk-In Closets, Wi-Fi Available",1,600.0,https://phoenix.craigslist.org/evl/apa/d/tempe-plush-carpeting-laundry-center/7268311939.html,1150
2021-01-26 18:27, (mesa),weekly furnished one bedrooms,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-weekly-furnished-one-bedrooms/7268289300.html,269
2021-01-26 18:26, (Glendale),Newly Renovated Three Bedroom Home!,3,,https://phoenix.craigslist.org/wvl/apa/d/glendale-newly-renovated-three-bedroom/7268324146.html,1949
2021-01-26 18:26, (Scottsdale),Penthouse Studio With Free 4k 55inch Smart TV!,,,https://phoenix.craigslist.org/evl/apa/d/scottsdale-penthouse-studio-with-free/7268290522.html,1565
2021-01-26 18:25," (Phoenix, AZ)",Private Patio or Balcony Available with This 2BR/2BA Apartment,2,958.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-private-patio-or-balcony/7268322009.html,1240
2021-01-26 18:25, (6340 N. 16th Street),$679 STUDIO SPECIAL - INCLUDES UTILITIES,,,https://phoenix.craigslist.org/cph/apa/d/phoenix-679-studio-special-includes/7259253276.html,679
2021-01-26 18:24, (Phoenix),ONE BEDROOM SPECIAL! UTILITIES INCLUDED * LOCATION!,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-one-bedroom-special-utilities/7258848433.html,799
2021-01-26 18:23," (4221 W Dunlap Ave Phoenix, AZ)",Come check out Villa Serena!! Beautiful 2bed 2 bath!!!,2,978.0,https://phoenix.craigslist.org/wvl/apa/d/phoenix-come-check-out-villa-serena/7268303970.html,1275
2021-01-26 18:21, (Phoenix),Your Dream 1 Bedroom Awaits!,1,747.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-your-dream-bedroom-awaits/7268322932.html,1300
2021-01-26 18:21, (mesa),nice weekly furnished one bedrooms,1,,https://phoenix.craigslist.org/evl/apa/d/mesa-nice-weekly-furnished-one-bedrooms/7268289675.html,269
2021-01-26 18:19, (Gilbert),Down Town Gilbert Community! Let's make it a Home,2,,https://phoenix.craigslist.org/evl/apa/d/gilbert-down-town-gilbert-community/7268326511.html,1465
2021-01-26 18:19, (Phoenix),Made in Shade at Desert Ridge !,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-made-in-shade-at-desert-ridge/7268320882.html,1795
2021-01-26 18:17, (Gilbert),Waitlist Today!,1,791.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-waitlist-today/7268321074.html,1200
2021-01-26 18:17, (mesa),furnished one bedroom,1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-furnished-one-bedroom/7268291740.html,269
2021-01-26 18:16, (5611 S 32nd St),Turn the key. Enter. Smile. Repeat every day.,2,1068.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-turn-the-key-enter-smile-repeat/7268286284.html,1476
2021-01-26 18:11, (Phoenix),All Utilities and Internet Included!!,,375.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-all-utilities-and-internet/7268316837.html,824
2021-01-26 18:10, (Tempe),Newly Renovated w/ Full-Size Washer and Dryer!,3,1079.0,https://phoenix.craigslist.org/evl/apa/d/tempe-newly-renovated-full-size-washer/7268319737.html,2306
2021-01-26 18:10, (Goodyear),Hurry! We're almost out of 2 bedroom homes! 😲,2,1113.0,https://phoenix.craigslist.org/wvl/apa/d/goodyear-hurry-were-almost-out-of/7268322936.html,1665
2021-01-26 18:10," (1925 S. Coronado Road Gilbert, AZ)",Call us today!!!,1,807.0,https://phoenix.craigslist.org/evl/apa/d/gilbert-call-us-today/7268318734.html,1275
2021-01-26 18:09, (mesa),"call at noon, we sell out fast",1,395.0,https://phoenix.craigslist.org/evl/apa/d/mesa-call-at-noon-we-sell-out-fast/7268291059.html,269
2021-01-26 18:07," (5995 N 78th St APT 1056, Scottsdale, AZ)",1 bd1 ba664 sqft,1,664.0,https://phoenix.craigslist.org/evl/apa/d/scottsdale-bd1-ba664-sqft/7266273715.html,800
